"Variable","Relationship","Physical Explanation","References"
"t2m(2m temperature)","+","Higher temperatures increase fuel dryness and flammability","https://publications.pik-potsdam.de/pubman/item/item_28400_1/component/file_28416/28400oa.pdf"
"d2m(2m dew point)","-","Higher moisture content reduces flammability","https://publications.pik-potsdam.de/pubman/item/item_28400_1/component/file_28416/28400oa.pdf"
"dem(Elevation)","-","Higher elevations often correlate with cooler temperatures and reduced fire spread","https://publications.pik-potsdam.de/rest/items/item_18087_2/component/file_18088/content"
"lai(Leaf Area Index)","+","Higher vegetation density provides more fuel (though very high LAI may retain moisture)","https://arxiv.org/html/2405.01607v4"
"lc_agriculture","+","Agricultural areas often contain dry crops as fuel","https://arxiv.org/html/2405.01607v4"
"lc_forest","+","Forests provide continuous fuel loads","https://publications.pik-potsdam.de/pubman/item/item_28400_1/component/file_28416/28400oa.pdf"
"lc_grassland","+","Dry grasses are highly flammable","https://arxiv.org/html/2405.01607v4"
"lc_settlement","-","Urban areas have fire suppression infrastructure","https://www.nature.com/articles/s43247-025-02202-7"
"lc_shrubland","+","Shrubs provide fine, flashy fuels","https://arxiv.org/html/2405.01607v4"
"lc_sparse_vegetation","+","Dry sparse vegetation ignites easily","https://publications.pik-potsdam.de/pubman/item/item_28400_1/component/file_28416/28400oa.pdf"
"lc_water_bodies","-","Acts as natural firebreaks","https://www.nature.com/articles/s43247-025-02202-7"
"lc_wetland","-","High moisture content inhibits combustion","https://publications.pik-potsdam.de/pubman/item/item_28400_1/component/file_28416/28400oa.pdf"
"lst_day","+","Higher daytime surface temperatures accelerate drying","https://publications.pik-potsdam.de/pubman/item/item_28400_1/component/file_28416/28400oa.pdf"
"lst_night","+","Elevated nighttime temperatures maintain dry conditions","https://www.nature.com/articles/s41467-025-58097-7"
"ndvi","+","Higher greenness indicates fuel availability (within flammability thresholds)","https://arxiv.org/html/2405.01607v4"
"population","+","Human presence increases ignition sources","https://www.nature.com/articles/s43247-025-02202-7"
"rh(Relative Humidity)","-","Moist air reduces fuel ignition probability","https://publications.pik-potsdam.de/pubman/item/item_28400_1/component/file_28416/28400oa.pdf"
"roads_distance","-","Proximity to roads increases human-caused ignitions","https://www.nature.com/articles/s43247-025-02202-7"
"smi(Soil Moisture)","-","Moist soils reduce vegetation flammability","https://publications.pik-potsdam.de/pubman/item/item_28400_1/component/file_28416/28400oa.pdf"
"sp(Surface Pressure)","+","High pressure systems correlate with dry conditions","https://www.nature.com/articles/s41467-025-58097-7"
"ssrd(Solar Radiation)","+","Increased radiation accelerates fuel drying","https://publications.pik-potsdam.de/pubman/item/item_28400_1/component/file_28416/28400oa.pdf"
"tp(Total Precipitation)","-","Rainfall reduces fuel aridity","https://publications.pik-potsdam.de/pubman/item/item_28400_1/component/file_28416/28400oa.pdf"
"wind_speed","+","Strong winds accelerate fire spread and oxygen supply","https://publications.pik-potsdam.de/pubman/item/item_28400_1/component/file_28416/28400oa.pdf"
"wind_direction","Contextual","Determines fire spread direction rather than likelihood","-"