run_id,train_aucpr,val_aucpr,train_f1_score,val_f1_score,test_f1_score,test_aucpr
0622_130602,0.999001,0.854992,0.983254,0.762409,0.722072,0.813478
0622_125824,0.998943,0.772871,0.982322,0.690155,0.750980,0.851123
0622_125026,0.999028,0.838245,0.983338,0.708861,0.740623,0.828643
0622_124239,0.998986,0.859589,0.983949,0.756881,0.685759,0.768861
0622_123511,0.998953,0.820819,0.984280,0.745530,0.747812,0.847161
0622_122748,0.998852,0.838381,0.983452,0.765599,0.736540,0.852167
0622_121924,0.998902,0.830993,0.983500,0.738404,0.748647,0.835964
0622_121055,0.998935,0.863459,0.983858,0.807754,0.743119,0.842530
0622_120300,0.999105,0.845337,0.985495,0.691145,0.791738,0.851041
0622_115538,0.999067,0.871151,0.984986,0.785340,0.741748,0.840104
0622_114825,0.999038,0.861445,0.985167,0.789668,0.740437,0.839057
0622_114044,0.999006,0.841757,0.984311,0.756818,0.782903,0.866012
0622_113224,0.998950,0.867982,0.984621,0.798165,0.770858,0.853230
0622_112413,0.998799,0.876694,0.983233,0.803163,0.775385,0.856470
0622_111541,0.998782,0.805069,0.984222,0.590909,0.797403,0.872144